nome,codbairro,regiao_adm,codra,area_plane,Total_de_pessoas_2010,Total_de_pessoas_2022,diferenca_de_pessoas,Total_de_domicilios_2022,Total_DP_2022,Total_DC,Total_DP_Ocup_2010,Total_DP_Ocup_2022,diferenca_de_DP,Shape_Length,Shape_Area,OBJECTID_1
Cidade de Deus,118,CIDADE DE DEUS,34,4,36515,30576,-5939,13278,13277,1,11391,11254,-137,7243.93443166759,1273028.18162949,147
Pavuna,114,PAVUNA,25,3,97350,95337,-2013,40928,40924,4,31072,35677,4605,18418.0818556461,8311428.03028447,148
Anil,116,JACAREPAGUA,16,4,24172,31895,7723,13976,13975,1,8070,11971,3901,10834.6065794703,3500419.99167141,149
Freguesia (Jacarepaguá),120,JACAREPAGUA,16,4,70511,74803,4292,33923,33914,9,24135,29296,5161,17756.8014444041,10328433.6054947,150
Barra Olímpica,165,BARRA DA TIJUCA,24,4,23425,56547,33122,28172,28166,6,8300,22274,13974,23597.0862336457,10973064.7673637,151
Pechincha,121,JACAREPAGUA,16,4,34709,39070,4361,18508,18453,55,12468,15772,3304,7817.21801266541,2830923.17354291,152
Tanque,123,JACAREPAGUA,16,4,37856,36815,-1041,17622,17615,7,12584,14309,1725,15382.4619820578,5568004.96228391,153
Praça Seca,124,JACAREPAGUA,16,4,64147,63284,-863,30162,30152,10,20906,24383,3477,11438.6884120895,6499994.8233109,154
Deodoro,134,REALENGO,33,5,10842,10402,-440,4265,4264,1,3291,3787,496,12077.6639477973,4640523.62527204,155
Vila Valqueire,125,JACAREPAGUA,16,4,32279,34024,1745,16033,16029,4,10680,13104,2424,9441.56990965384,4232226.08930893,156
Joá,126,BARRA DA TIJUCA,24,4,818,983,165,476,476,0,251,374,123,8871.3062908418,1689695.78892882,157
Itanhangá,127,BARRA DA TIJUCA,24,4,38415,67969,29554,30838,30832,6,12790,26886,14096,20400.6718689367,13197761.1156488,158
Vila Militar,135,REALENGO,33,5,13184,12956,-228,5387,5355,32,4152,4699,547,18077.0230936419,10756738.323024,159
Campo dos Afonsos,136,REALENGO,33,5,1365,2106,741,761,755,6,375,651,276,8075.66216688338,3252301.63675027,160
Camorim,129,BARRA DA TIJUCA,24,4,1196,1383,187,736,732,4,377,494,117,17448.1013466932,7352022.83329275,161
Barra da Tijuca,128,BARRA DA TIJUCA,24,4,127159,142263,15104,70223,70167,56,48095,59370,11275,50142.3992927474,46271713.2648597,162
Vargem Pequena,130,BARRA DA TIJUCA,24,4,27250,31115,3865,14075,14071,4,8431,11671,3240,20648.9528278573,14438332.9307308,163
Vargem Grande,131,BARRA DA TIJUCA,24,4,14039,20663,6624,9329,9325,4,4469,7727,3258,33697.3209729583,39380486.94749,164
Recreio dos Bandeirantes,132,BARRA DA TIJUCA,24,4,82240,141316,59076,67472,67460,12,28350,56963,28613,38561.3108554274,30655705.1413141,165
